"filename", "language", "JSON", "JavaScript", "SCSS", "CSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\app.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 27, 107
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\interpolation\largrange\Lagrangepolynomial.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 8, 6, 28
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\interpolation\largrange\Lagrangequadratic.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 8, 9, 31
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\interpolation\largrange\Larangelinear.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 8, 8, 27
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\interpolation\newton\Newtonlinear.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 8, 18, 67
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\interpolation\newton\Newtonpolynomial.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 20, 30, 99
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\interpolation\newton\Newtonquadratic.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\linear\choleskey.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 27, 17, 65
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\linear\cramer.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 11, 35
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\linear\gauss.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 9, 10, 46
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\linear\gaussjordan.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 11, 31, 114
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\linear\jacobi.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 5, 8, 40
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\linear\lu.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 10, 23, 66
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\linear\seidel.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\roots\bisection.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 8, 35
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\roots\falseposition.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 10, 42
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\roots\newtonraphson.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 19, 20, 59
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\roots\onepoint.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 18, 14, 53
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\roots\secant.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 1, 6, 32
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\calculate\roots\taylor.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 49, 48, 111
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\package-lock.json", "JSON", 1791, 0, 0, 0, 0, 0, 0, 0, 1, 1792
"c:\Users\Detroit\Documents\GitHub\numer-react-api\backend\package.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\README.md", "Markdown", 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\package-lock.json", "JSON", 31592, 0, 0, 0, 0, 0, 0, 0, 1, 31593
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\package.json", "JSON", 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\App.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 0, 18, 112
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\interpolation\lagrange\lagrangelinear.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\interpolation\lagrange\lagrangepolynomial.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\interpolation\lagrange\lagrangequadratic.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\interpolation\newton\chart\polychart.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 15, 57
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\interpolation\newton\newtonlinear.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 0, 30, 123
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\interpolation\newton\newtonpolynomial.js", "JavaScript", 0, 105, 0, 0, 0, 0, 0, 0, 29, 134
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\interpolation\newton\newtonquadratic.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 27, 107
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\linear\cholesky.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 0, 15, 85
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\linear\cramer.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 0, 20, 111
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\linear\gauss.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 0, 28, 115
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\linear\gaussjordan.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 0, 21, 104
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\linear\jacobi.js", "JavaScript", 0, 103, 0, 0, 0, 0, 0, 3, 29, 135
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\linear\lu.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 12, 62
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\linear\seidel.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 14, 68
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\linear\table\tableJ.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 8, 37
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\roots\bisection.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 16, 82
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\roots\chart\bisecchart.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 0, 10, 95
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\roots\chart\falsechart.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\roots\falseposition.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 0, 13, 89
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\roots\newtonraphson.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\roots\onepoint.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 9, 65
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\roots\secant.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 7, 66
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\roots\table\bisectionTable.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\roots\table\falsepostionTable.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 5, 42
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\roots\table\newtonTable.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\roots\table\onepointTable.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\roots\table\secantTable.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 1, 4, 51
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\components\roots\taylorseries.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 16, 71
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\footer.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\header.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 5, 12
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\index.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 3, 3, 21
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\menu.json", "JSON", 129, 0, 0, 0, 0, 0, 0, 0, 0, 129
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\numerTopic.json", "JSON", 90, 0, 0, 0, 0, 0, 0, 0, 1, 91
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\numerical.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 2, 42
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\sass\_interpolation.scss", "SCSS", 0, 0, 50, 0, 0, 0, 0, 0, 8, 58
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\sass\_linear.scss", "SCSS", 0, 0, 72, 0, 0, 0, 0, 0, 21, 93
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\sass\_main.scss", "SCSS", 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\sass\_root.scss", "SCSS", 0, 0, 54, 0, 0, 0, 0, 0, 21, 75
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\sass\style.css", "CSS", 0, 0, 0, 202, 0, 0, 0, 0, 39, 241
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\sass\style.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numer\src\topic.json", "JSON", 130, 0, 0, 0, 0, 0, 0, 0, 1, 131
"c:\Users\Detroit\Documents\GitHub\numer-react-api\numerlist\topic.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 42, 11, 108
"Total", "-", 33827, 2418, 206, 214, 1, 2, 20, 277, 828, 37793